corsid,state,site_name,site_code,coordinates_of_sites_dms_lat,coordinates_of_sites_dms_long,coordinates_of_sites_dms_elp_height
50030A001,Himachal Pradesh,AMBUNA,AMBU,31 41 9.40789,76 7 24.3746,450.816
50031A001,Rajasthan,AMETH,AMET,25 18 27.1262447744832,73 54 57.05219829855,560.2888742
50032A001,Assam,AMGURI,AMGU,26 48 18.821671637,94 32 3.463867064,46.518533
50033A001, Lakshdweep,AMINI,AMIN,11 7 48.1233147482063,72 43 20.1943811427137,-74.38437
50034A001,Meghalaya,AMPATI,AMPA,25 27 36.877029751,89 55 36.089481302,6.70536
50035A001,Telangana,AMRABAD,AMRB,16 22 30.8149872001187,78 49 48.1881672109925,505.76219
50036A001,Punjab,AMRITSAR,AMRI,31 38 44.002547,74 51 22.730897,193.5369
50037A001,Assam,AMTEKA,AMTE,26 44 1.712002944,90 32 6.408001416,72.604877
50038A001,Punjab,ANADPURSAHIB,ANAD,31 14 31.683323,76 29 17.887274,263.3869
50039A001,Telangana,ANDOLEMEDAK,ANDM,17 50 6.54716900169359,78 4 20.7777351326516,428.07386
50040A001,Lakshdweep Wing,ANDROTH,ANDR,10 48 51.4355014610627,73 40 18.2525674980098,-76.47281
50041A001,Karnataka,ANKOLA,ANKA,14 37 40.36081,74 19 37.28382,-44.9555
50042A001,Telangana,ANNAPUREDDYPALLY,ANNA,17 22 3.64017514156734,80 46 36.3090531445711,115.76146
50043A001,Tamilnadu,ANNUR,ANNU,11 14 24.9550143997213,77 6 20.4109387471752,294.31917
50044A001,Tamilnadu,ANTHIYUR,ANTH,11 34 37.8599845107851,77 35 16.5042446209636,140.42108
50045A001,Madhya Pradesh,ANUPPUR,ANPR,23 8 18.2994567792519,81 41 56.752619988122,411.3998
50046A001,Uttar pradesh,ANUPSHAHAR,ANUP,28 21 13.4025929257825,78 16 12.358828206776,139.9562
50047A001,Meghalaya,ARADONGA,ARAD,25 50 31.005188897,91 10 18.14818996,29.811848
50048A001,Rajasthan,ARAIN,ARAI,26 26 46.5190835886954,75 1 58.6478871742023,329.0137
50049A001,West Bengal,ARAMBAG,ARAM,22 53 29.4335260766105,87 46 24.7279811552507,-36.64354
50050A001,Bihar,ARARIA,ARAR,26 7 17.4156541020301,87 27 8.94356788831631,-4.662647
50051A001,Madhya Pradesh,ARON,ARON,24 22 50.4802411670531,77 24 27.8251479630685,474.55384
50052A001,Arunanchal Pradesh,ARZOO,ARZO,28 29 20.373361787,95 49 36.672309238,602.998079
50053A001,West Bengal,ASANSOL,ASAN,23 42 14.6415388135274,86 57 7.09182553252554,56.34027
50054A001,Madhya Pradesh,ASHTA,ASHT,23 0 41.6023054327755,76 43 23.3379586233676,440.97871
50055A001,Maharashtra,ASHTI,ASTI,21 11 19.84214,78 10 54.453,266.0306
50056A001,Telangana,ASIFABAD,ASIF,19 21 52.4774348744314,79 17 1.04332998402165,149.70455
50057A001,Odisha,ASTARANGA,ASTA,19 58 49.4353125583302,86 16 7.98924832666252,-48.45673
50058A001,Karnataka,ATHANI BELGAUM,ATBM,16 43 59.83056,75 5 23.64527,516.477
50059A001,Kerla,ATHIRAPPILLY,ALLY,10 17 26.9260989265659,76 30 43.8974332003025,-20.12031
50060A001,Tamilnadu,ATHUR,ATUR,11 35 52.0501840344666,78 36 6.45288819379672,136.91699
50061A001,Uttar pradesh,AURAIYA,AURA,26 32 43.1087443057825,79 33 14.783187136776,75.7875
50062A001,Kerla,AZHOOR,AOOR,8 38 22.7061487486595,76 50 28.1214666357211,-48.86053
50063A001,Arunanchal Pradesh,BAANA,BAAN,27 16 57.253015339,92 51 2.234198251,415.405977
50064A001,Madhya Pradesh,BABAI,BABA,22 42 12.0336588721038,77 56 37.5008828239905,261.09315
50065A001,Gujarat,BACHAU,BHAU,23 17 18.4046771775931,70 20 39.3602328848855,-13.06073
50066A001,Uttar pradesh,BACHHRAWAN,BACH,26 29 2.4630069957825,81 5 55.598463916776,55.0481
50067A001,Madhya Pradesh,BADAGAON,BADA,24 34 34.5490004608971,79 0 16.3883051230042,291.49692
50068A001,Odisha,BADAMPAHAR,BAA0,22 5 24.214819,86 7 1.926632766,331.58873
50069A001,Odisha,BADMAL,BADM,21 49 11.9210916444766,84 0 17.1660473392845,158.08626
50070A001,Madhya Pradesh,BADOD,BADO,23 47 37.3098917277679,75 48 25.2707498767827,413.54195
50071A001,Madhya Pradesh,BADUADA,BADU,25 29 43.04856,76 39 16.86383,180.736
50072A001,Madhya Pradesh,BADWAHA,BDWH,22 16 22.9932291132965,76 1 37.3689980117312,144.3662
50073A001,Bihar,BAGAHA,BAGA,27 6 30.3407707375438,84 4 35.0845511099184,26.334305
50074A001,Gujarat,BAGASARA,BAGR,21 28 50.8208987,70 56 14.04342298,100.23124
50075A001,Meghalaya,BAGHMARA,BAGH,25 12 46.743370446,90 38 28.942559632,96.273803
50076A001,Jharkhand,BAGODHAR,BAAR,24 5 5.45109495186749,85 49 49.082122030308,341.58462
50077A001,Madhya Pradesh,BAIHAR,BAIH,22 6 14.1241963271934,80 32 59.6922317951184,500.71492
50078A001,Uttarakhand,BAIJNATH,BAIJ,29 54 18.9100212857825,79 37 44.109458296776,1096.1952
50079A001,Madhya Pradesh,BAJAG,BAJA,22 39 41.78172491,81 20 59.91878931,732.65617
50080A001,Assam,BAKSA,BAKS,26 39 13.006140042,91 20 26.375670522,24.855995
50081A001,Odisha,BALANGIR,BAIR,20 41 9.97510043144379,83 29 9.61163234170532,131.91784
50082A001,Gujarat,BALASAR,BALA,23 50 20.625811792401,70 40 23.5812333794938,-25.82296
50083A001,Rajasthan,BALESAR,BALE,26 21 41.121922,72 30 56.805363,182.2142
50084A001,Chhattisgarh,BALOD,BALO,20 42 17.3023,81 13 46.40595,272.86845
50085A001,Uttar pradesh,BALRAMPUR,BALR,27 24 39.7541107357825,82 11 32.070374846776,41.3885
50086A001,West Bengal,BALURGHAT,BALU,25 14 55.6062802196615,88 46 48.8190428695579,-27.47247
50087A001,Rajasthan,BAMNOR,BAMN,25 18 29.422566,71 19 12.027356,58.576
50088A001,Madhya Pradesh,BAMORI,BAMO,24 50 57.5698906205504,77 8 14.124664240533,400.84901
50089A001,Tripura,BANABITI,BANA,24 3 15.140783723,91 34 46.176429686,-17.888205
50090A001,Karnataka,BANAVASI,BNSI,14 32 27.28333,75 1 15.37264,472.6804
50091A001,Uttar pradesh,BANDA,BAND,25 28 49.9301339257825,80 19 59.270838236776,62.7069
50092A001,Madhya Pradesh,BANDAMP,BNMP,24 2 42.3585488,78 57 21.5796854,423.2242
50093A001,Jammu & Kashmir,BANDIPURA,BARA,34 25 2.41421,74 38 49.46124,1602.472
50094A001,Karnataka,BANGALORE,BANG,12 55 31.41996,77 37 22.75902,813.4644
50095A001,West Bengal,BANGAON,BANO,23 3 20.4692726653647,88 50 2.93232881380412,-45.96756
50096A001,Odisha,BANGOMUNDA,BNDA,20 21 31.190919212541,82 54 27.1315120426553,190.24675
50097A001,Bihar,BANKA,BNKA,24 53 33.7225324706851,86 54 41.9770685859365,23.50979
50098A001,Madhya Pradesh,BANKHEDI,BANK,22 46 22.4062081303311,78 32 7.0103341330495,295.4131883
50099A001,Rajasthan,BANSWARA,BANS,23 33 15.8754154793582,74 26 22.7825582720519,165.4314
50100A001,Karnataka,BANTWAL,BNWl,12 55 22.32119,75 2 1.41693,33.4938
50101A001,Uttar pradesh,BARA,BARA,25 15 9.0429749957825,81 42 57.536402066776,54.968
50102A001,Uttar pradesh,BARAUT,BART,29 5 48.2261562957825,77 15 19.659715296776,179.4208
50103A001,West Bengal,BARDHAMAN,BARD,23 17 2.51824854308665,87 49 27.5549265843214,-22.21517
50104A001,Odisha,BARGARH,BARH,21 20 42.5412206689291,83 37 22.468426155855,126.1212052
50105A001,Jharkhand,BARHAIT,BARI,24 53 46.7794821562848,87 35 52.0580991846113,-1.15703
50106A001,Madhya Pradesh,BARHI,BARH,23 53 59.67022653,80 47 53.84836116,310.52154
50107A001,Odisha,BARIPADA,BADA,21 56 31.43167687,86 43 38.68504301,-0.67608
50108A001,Odisha,BARKOTE,BARK,21 32 36.29909415,84 58 45.32763742,84.56908
50109A001,Punjab,BARNALA,BRLA,30 25 13.35788275,75 22 55.01958282,180.7941
50110A001,Assam,BARPETA,BARP,26 19 40.542074543,91 0 11.252621929,-5.866165
50111A001,Jharkhand,BARWADIH,BDIH,23 51 11.219576676447,84 6 46.5417308409875,228.22669
50112A001,Arunanchal Pradesh,BASAR,BASA,27 58 46.046195542,94 41 21.900080637,592.989315
50113A001,Karnataka,BASAVKLAYANA,BSNA,17 49 53.00778,76 56 1.8964,593.8233
50114A001,West Bengal,BASIRHAT,BASI,22 39 55.3464558376625,88 53 26.3711074329801,-50.18702
50115A001,Chhattisgarh,BASNA,BASN,21 16 31.47049,82 48 51.5027,210.58888
50116A001,Gujarat,BAYAD,BYAD,23 13 5.79873,73 12 51.28247,49.299
50117A001,Maharashtra,BEED,BEED,18 55 11.93519,75 0 28.91795,551.0826
50118A001,Maharashtra,BEED TALUKA,BETL,18 59 41.26186,75 44 34.51692,443.701
50119A001,Madhya Pradesh,BEERPUR,BEER,26 8 55.4511408081566,77 9 48.4609987119829,170.12353
50120A001,West Bengal,BEHARAMPUR,BEHA,24 5 40.6302232783775,88 15 41.6101102129543,-35.25508
50121A001,Telangana,BEJJUR,BEJJ,19 20 34.4657879909039,79 51 45.5461788389861,73.52701
50122A001,Kerla,BEKAL,BKAL,12 23 8.44646782,75 2 39.51165634,-65.48721
50123A001,Telangana,BELA,BELA,19 43 5.9588001478175,78 46 15.9521942069934,154.15627
50124A001,Kerla,BEYPORE,BORE,11 11 25.2790332692077,75 47 49.773089043329,-83.24121
50125A001,Bihar,BHABUA,BHAB,25 2 51.3950184171284,83 36 49.2458682396482,22.319
50126A001,Maharashtra,BHADGAON,BHGN,20 39 49.04795,75 13 41.79033,201.0732
50127A001,Odisha,BHADRAK,BHAR,21 3 18.0405284688603,86 29 40.4749298715504,-42.00886
50128A001,Madhya Pradesh,BHAGWANPURA,BHAG,21 37 18.936274,75 35 33.887667,294.4592
50129A001,Karnataka,BHAGWATI,BWTI,15 9 31.22138,74 45 25.55053,425.7166
50130A001,Rajasthan,BHAKHASAR,BHAK,24 45 58.845887,71 7 9.60672,-24.098
50131A001,Maharashtra,BHANDARA,BHAN,21 9 49.08499,79 39 7.08275,193.487
50132A001,Odisha,BHANJANAGAR,BGAR,19 55 35.3994605,84 34 54.64370831,21.59197
50133A001,Chhattisgarh,BHATAPARA,BHTP,21 43 46.0902,81 57 49.31234,203.03216
50134A001,Punjab,BHATINDA,BHTD,30 14 18.2638705504837,74 56 5.96977485185932,167.4439398
50135A001,Karnataka,BHATKAL,BTKL,13 59 52.08458,74 33 12.43672,-42.1099
50136A001,Uttarakhand,BHATWARI,BHAT,30 48 15.4412917657825,78 37 14.398058676776,1520.0105
50137A001,Jharkhand,BHAVANATHAPURI,BPUR,24 23 0.50392903,83 34 4.89135166,177.18975
50138A001,Gujarat,BHAVNAGAR,BHAV,21 45 36.5330189147701,72 7 59.0534575192081,-30.57362
50139A001,Madhya Pradesh,BHIMPUR,BHIM,21 55 49.9807652755866,77 33 43.6143057325559,488.75978
50140A001,Madhya Pradesh,BHINDNAGAR,BHIN,26 33 45.5991726465113,78 48 14.9024968024812,92.94332
50141A001,Haryana,BHIWANI,BHIW,28 49 1.53096655,76 8 10.53365066,170.5964
50142A001,Odisha,BHOGRAI,BHOG,21 39 6.52668184038777,87 21 55.3458578124882,-50.37027
50143A001,Gujarat,BHRINDIYARA,BHRI,23 39 43.7002568593691,69 42 27.9785019100205,-41.41958
50144A001,Odisha,BHUBANESWAR,BHUW,20 17 15.2976000641351,85 43 47.1856650197745,46.7309
50145A001,Gujarat,BHUJ,BHUJ,23 14 16.5950030947223,69 39 28.0336966151313,59.3518
50146A001,Haryana,BHUNA,BHUN,29 32 18.36903762,75 42 27.6361035,173.1764
50147A001,Madhya Pradesh,BICHUA,BICH,21 49 0.219816329322405,79 1 57.7327216356131,592.44653
50148A001,Karnataka,BIDER,BDER,17 56 17.54851,77 28 34.90063,578.4016
50149A001,Bihar,BIHARSHARIF,BIHA,25 10 6.75185895063521,85 31 2.28526667731232,-2.886615
50150A001,Assam,BIHUBOR,BIHU,26 49 59.303683407,94 48 15.765928779,51.291105
50151A001,Chhattisgarh,BIJAPUR,BJPR,18 48 9.35171,80 48 21.98091,264.22625
