corsid,state,site_name,site_code,coordinates_of_sites_dms_lat,coordinates_of_sites_dms_long,coordinates_of_sites_dms_elp_height
50695A001,Gujarat,PALANPUR,PALA,24 10 20.0884811313432,72 26 55.2778154647277,179.43723
50696A001,Tamilnadu,PALAYAMKOTTAI,PYKT,8 43 35.6814058362566,77 42 56.3968132103883,-52.21183
50697A001,Arunanchal Pradesh,PALIN,PALI,27 41 50.06917374,93 37 59.006817771,877.308421
50698A001,Tamilnadu,PALLIPATTU,PLPT,13 19 26.5491004155899,79 26 27.5328430286029,81.48558
50699A001,Kerla,PALLIPPURAM,PLLI,10 23 56.5657898433982,76 7 6.92786672382374,-84.79465
50700A001, Haryana,PALWAL,PALW,28 6 29.59324436,77 19 46.57404182,144.3002
50701A001,Telangana,PAMBI,PAMB,19 11 38.0257627806441,78 37 56.6923729157807,175.58223
50702A001,Rajasthan,PANCHORI,PANC,27 6 28.8358761155063,73 13 57.7092414420386,244.9533377
50703A001,Madhya Pradesh,PANDHANA,PAND,21 41 54.2781395768184,76 13 14.3211359032117,298.32917
50704A001,Ladakh,PANG,PANG,33 7 46.3431660877779,77 47 11.7654478492583,4496.24709
50705A001,Arunanchal Pradesh,PANGIN,PANG,28 12 58.87203305,94 59 43.932431954,432.02868
50706A001, Haryana,PANIPAT,PANI,29 24 15.68554225,76 58 6.4095436,186.292
50707A001,West Bengal,PANSKURA,PANS,22 23 58.3872207656468,87 44 33.0992378414526,-52.00017
50708A001,Kerla,PARAPPA,PAPP,12 35 57.4781681638229,75 16 54.1843993263561,40.85032
50709A001,Uttar pradesh,PARASPUR,PARA,27 2 7.3318386817825,81 47 12.685496606776,37.669
50710A001,Maharashtra,PARLI,PARL,18 58 20.59861,76 22 40.70626,376.2956
50711A001,Gujarat,PATAN,PTAN,23 51 23.0464285,72 8 5.576842289,34.21948
50712A001,Madhya Pradesh,PATERA,PATE,23 59 2.19069741384986,79 41 4.19576216061643,283.93648
50713A001,Bihar,PATNA,PATN,25 35 38.4924024517219,85 4 47.2231792884376,-8.228755
50714A001,Tamilnadu,PATTUKOTTAI,PTTK,10 25 4.89940162015348,79 19 54.7974342248385,-62.93542
50715A001,Karnataka,PAVGADA,PVDA,14 6 59.40809,77 16 50.29847,557.7273
50716A001,Chhattisgarh,PENDRAROAD,PEND,22 44 59.43669,81 54 36.49103,559.21283
50717A001,Tamilnadu,PENNAGARAM,PNGM,12 8 4.28599261967048,77 53 36.4318966091257,426.20163
50718A001,Telangana,PENTAVELLY,PNTV,16 4 12.4668244466187,78 15 21.3148314368906,201.70765
50719A001,Tamilnadu,PERAIYUR,PRRU,9 44 29.9869517508188,77 47 23.923952183948,83.2602
50720A001,Tamilnadu,PERAMBALUR,PBLU,11 13 27.0845067773969,78 52 30.3868468850808,45.02983
50721A001,Rajasthan,PHALODI,PHLD,27 7 23.2595509537608,72 22 31.575540329557,192.0903094
50722A001,Rajasthan,PHALUSUND,PHAL,26 24 14.630522,71 55 28.71266,164.142
50723A001,Uttar pradesh,PHEENA,PHNA,29 4 41.5641712315314,78 20 58.5595255447769,169.5661
50724A001,Manipur,PHERZAWL,PHER,24 15 42.00431924,93 11 2.280461201,985.475867
50725A001,Andaman & Nicobar Islands,PHOENIXBAY,PBAY,11 39 58.735636,92 44 6.343821785,-49.80586
50726A001,Nagaland,PHOMCHING,PHOM,26 41 18.396549095,95 10 56.703178724,842.728043
50727A001,Uttar pradesh,PHOOLPUR,PHOO,25 32 46.0248210557825,82 4 47.845574676776,33.0362
50728A001,Odisha,PHULBANI,PHUL,20 28 0.895010704671447,84 14 24.9550695111342,431.75165
50729A001,Meghalaya,PHULBARI,PHUB,25 52 38.403815248,90 1 49.017330376,-12.991532
50730A001,Rajasthan,PHULERA,PHUL,26 52 21.61326537,75 15 53.52110753,351.8543427
50731A001,Assam,PHULONI,PHLO,26 10 8.669410011,93 8 15.095399047,38.536432
50732A001,Bihar,PHULPARAS,PHUP,26 21 37.6637549294711,86 29 28.2169769488465,-1.878694
50733A001,Uttarakhand,PITHORAGARH,PITH,29 35 20.8186569957825,80 12 29.745097276776,1631.6717
50734A001,Madhya Pradesh,POHARI,POHA,25 32 39.8900960224316,77 22 6.58223476715578,370.2359
50735A001,Rajasthan,POKHRAN,POKH,26 54 12.327757,71 54 29.01584,209.3146
50736A001,Kerla,PONNANI,PANI,10 47 3.55984611870766,75 55 5.73977489979986,-87.57047
50737A001,Uttar pradesh,POORANPUR,POOR,28 30 33.7742083857825,80 8 46.338504226776,129.8737
50738A001,Madhya Pradesh,PORSA,PORS,26 40 50.8428912565212,78 21 25.3154359097714,106.20113
50739A001,Madhya Pradesh,PRABHATPATTAN,PRAB,21 39 4.07251583302542,78 15 56.2203213960883,644.2131
50740A001,Kerla,PUDDUR,PUDD,11 5 19.6216824780737,76 37 0.99821162150557,695.30526
50741A001,Bihar,PUPRI,PUPR,26 27 49.1328825197277,85 41 59.8069655859652,-6.808178
50742A001,West Bengal,PURULIYA,PURU,23 20 23.7594745034545,86 21 3.09700513200184,198.27651
50743A001,Tamilnadu,RADHAPURAM,RDHM,8 16 17.8952713227862,77 41 12.1273219692731,-44.27723
50744A001,Telangana,RAGHUNATHPALLY,RGNP,17 46 16.3614843293283,79 16 17.7280328232477,294.18649
50745A001,Madhya Pradesh,RAHATGARH,RAHA,23 47 26.4719489157775,78 23 58.8279124294766,418.4312
50746A001,Maharashtra,RAHURI AHMADNGR,RHRI,19 22 5.32871,74 38 51.8502,467.399
50747A001,Karnataka,RAICHURU,RCRU,16 16 30.14439,77 21 7.04653,294.7725
50748A001,West Bengal,RAIGANJ,RAIG,25 39 24.2392835131035,88 9 11.3640513490683,-17.89316
50749A001,Chhattisgarh,RAIGARH,RAIG,21 53 9.77284238646668,83 24 33.7656180268314,155.083108
50750A001,Chhattisgarh,RAIPUR,RAIP,21 14 56.903621837757,81 36 27.4329352653801,231.2596575
50751A001,Uttar pradesh,RAJAPUR,RAJA,25 22 45.4014649957825,81 7 59.213064616776,46.0477
50752A001,Maharashtra,RAJAPUR RATNAGIR,RARI,16 42 18.60478,73 43 41.87915,0.5822
50753A001,Telangana,RAJAPURTG,RJTG,16 51 49.0057174979268,78 9 45.3109109542883,464.56844
50754A001,Rajasthan,RAJASAR,RJSR,28 38 3.68632459155983,74 13 26.8739119057594,165.9661139
50755A001,Odisha,RAJGANGPUR,RAJG,22 13 42.9431881959544,84 36 1.4307563955235,160.71615
50756A001,Assam,RAJGHAT,RAJG,24 31 49.644866165,92 49 21.945070981,-18.822497
50757A001,Chhattisgarh,RAJNANDGAON,RAJN,21 6 0.687004806608745,81 1 57.8309747612358,246.07323
50758A001,Maharashtra,RAJURA,RAJU,19 47 8.47175,79 22 5.43952,112.0498
50759A001,Tamilnadu,RAMANATHAPURAM,RMND,9 21 36.244313034747,78 51 36.1485362247087,-77.33858
50760A001,Rajasthan,RAMGANIMANDI,RAMG,24 46 34.9201946611098,76 0 3.02579151940256,266.2622
50761A001,Assam,RAMKRISHNA,RAMK,24 34 12.077876347,92 27 55.802839324,-16.387913
50762A001,Uttarakhand,RAMNAGAR,RMNG,29 23 36.0695569626115,79 6 57.836599326071,305.0015
50763A001,Himachal Pradesh,RAMPUR,RMPR,31 26 40.9578908091742,77 38 31.1658765382031,1608.1737
50764A001,Uttar pradesh,RAMPURMANIHARAN,RAMP,29 48 49.26975451,77 27 22.054756,226.7769
50765A001,Madhya Pradesh,RAMPURNAIKAN,RMNK,24 20 31.4256599148382,81 27 53.7587414681483,243.86358
50766A001,Jharkhand,RANCHI,RCHI,23 20 44.5794263413152,85 19 15.5312123585877,580.08153
50767A001,Karnataka,RANEBENNUR,RBUR,14 34 50.4265,75 39 26.87043,510.4896
50768A001,Arunanchal Pradesh,RANIKOR,RANK,25 13 52.643761559,91 13 49.885429365,55.953802
50769A001,Rajasthan,RANIWAR,RANI,24 46 37.489307,72 16 58.829447,211.465
50770A001,Madhya Pradesh,RANNOD,RANN,25 3 52.66282131,77 52 11.86205388,390.607594
50771A001,Uttar pradesh,RASRA,RASR,25 52 5.30887755003747,83 51 41.9185985883352,2.329881
50772A001,Rajasthan,RATANGARH,RTNG,28 4 5.7712934936512,74 37 19.4695738307089,274.0930968
50773A001,Rajasthan,RATASAR,RATA,25 30 9.872519,70 52 19.643526,130.894
50774A001,Uttar pradesh,RATH,RATH,25 35 49.3397034057825,79 34 36.147456006776,100.5101
50775A001,Madhya Pradesh,RATLAM,RATL,23 19 32.715319,75 3 18.197611,432.1479
50776A001,Bihar,RATNIFARIDPUR,RATN,25 13 2.67756586995767,84 50 9.34304922922386,12.610952
50777A001,Rajasthan,RAWATSAR,RAWA,29 16 14.8022633957649,74 24 37.3924727966485,141.9837108
50778A001,Bihar,RAXAUL,RAXA,26 58 54.0596124740943,84 50 37.8761933548755,14.925988
50779A001,Odisha,RAYAGARH,RARH,19 10 0.651660824,83 24 30.85827968,159.40826
50780A001,Telangana,REGONDA,REGO,18 14 56.5826232137234,79 46 14.1207520944296,147.94299
50781A001,Meghalaya,RESUBELPARA,RESU,25 53 43.949570012,90 36 22.817000797,15.176884
50782A001, Haryana,REWARI,REWA,28 12 55.09392322,76 37 9.6536149,191.8391
50783A001,Uttar pradesh,ROBERTSGANJ,ROBT,24 41 8.51255946465804,83 4 20.6426221432597,257.27675
50784A001,Rajasthan,ROHAT,ROHA,25 57 43.524752325407,73 8 29.8819848358998,147.7229
50785A001,Arunanchal Pradesh,ROING,ROIN,28 8 37.120729469,95 50 40.13416934,355.584921
50786A001,Karnataka,RONA,RONA,15 41 38.23486,75 43 19.47741,496.2399
50787A001,Uttarakhand,ROORKEE,ROOR,29 52 1.16633493516688,77 52 59.244461162855,219.3236
50788A001,Uttarakhand,RUDRAPRAYAG,RUDR,30 18 14.6985902157825,79 0 32.079839146776,759.3778
50789A001,Arunanchal Pradesh,RUPA_AR,RUP_,27 11 31.967685795,92 23 53.624197943,1506.397133
50790A001,Rajasthan,RUPAHELIKALAN,RUPA,25 47 35.9062239269212,74 38 27.0738294330197,354.1695
50791A001,Maharashtra,SADAK SHENDA,SAEN,21 5 36.58141,80 9 28.10123,207.9219
50792A001,Rajasthan,SADHANA,SADH,27 28 51.3375,70 41 39.667804,90.0369
50793A001,Rajasthan,SADOLAI,SADO,28 36 43.05968,73 16 0.436928,144.3001
50794A001,West Bengal,SAGARISL,SAGA,21 43 17.8224909101558,88 9 5.31983377795236,-52.03001
50795A001,Uttar pradesh,SAGRI,SAGR,26 8 46.2594648457825,83 18 53.004302656776,18.5888
50796A001,Rajasthan,SAGWARA,SAGW,23 40 9.118699934,74 1 19.31251895,114.854
50797A001,Maharashtra,SAHAPUR,SAHA,19 26 48.96129,73 19 3.74436,2.8221
50798A001,West Bengal,SAINTHIA,SAIN,23 56 49.5873358959738,87 41 0.214871658919554,0.48635
50799A001,Maharashtra,SAKRI,SAKR,20 59 31.12292,74 18 55.20796,362.1628
50800A001,Tamilnadu,SALEM,SALM,11 39 25.1381649437747,78 9 25.4740414878658,209.38896
50801A001,Uttar pradesh,SALEMPUR,SALE,26 17 57.7244950509259,83 55 20.7518894506079,7.60679
50802A001,Rajasthan,SALUMBER,SALU,24 8 2.92564635562653,74 2 24.6981919732847,189.0504
50803A001,Bihar,SAMASTIPUR,SAMA,25 51 48.7216287734268,85 46 32.2418534058433,-14.865316
50804A001,Rajasthan,SANCHORE,SANC,24 46 40.2925709169347,71 47 34.1556725344348,8.797076675
50805A001,Uttar pradesh,SANDILA,SAND,27 3 59.9534358699614,80 29 48.715566738554,69.39417602
50806A001,Karnataka,SANDUR,SNDR,15 5 17.59089,76 32 31.80185,503.7
50807A001,Mizoram,SANGAU,SANG,22 44 11.974882852,93 2 53.931878593,1304.995201
50808A001,Maharashtra,SANGMESHWAR,SAWR,17 10 35.18205,73 32 21.23226,-2.5965
50809A001,Ladakh,SANGRAH,SANG,34 14 3.47040252949791,75 58 42.1831412747943,3091.71104
50810A001,Nagaland,SANIS,SANI,26 12 15.326546464,94 11 45.115719552,614.309962
50811A001,Gujarat,SANTRAMPUR,SANU,23 10 33.9590118938449,73 53 44.3568805352111,96.26676
50812A001,Telangana,SARANGPUR,SARN,19 12 44.1838046804965,78 15 13.5479696418228,284.40972
50813A001,Odisha,SARAT,SARA,21 26 23.8721702963684,86 20 38.457496903507,137.01344
50814A001,West Bengal,SARENGA,SARE,22 48 2.07959262584845,87 0 37.7101487789927,38.01728
50815A001,Assam,SARUPATHAR,SARU,26 11 31.670220195,93 52 8.211409146,62.995303
50816A001,Bihar,SASARAM,SASA,24 56 52.5920522276291,83 58 44.9147517414739,40.622305
50817A001,Maharashtra,SASWAD,SASW,18 20 51.31465,74 1 54.71333,709.26
50818A001,Uttarakhand,SATPULI,STPU,29 55 25.9772185588322,78 42 35.9881128647162,587.2285
50819A001,Madhya Pradesh,SATWAS,SATW,22 32 5.85802179460216,76 41 29.7441341276331,261.6373
50820A001,Karnataka,SAUDATHI,SDHI,15 46 6.93536,75 6 29.47138,595.3913
50821A001,Gujarat,SAVARKUNDLA,SDLA,21 18 37.886327,71 18 54.20603477,110.49345
50822A001,Karnataka,SEDAM,SEDM,17 10 35.26776,77 16 56.80129,346.0826
50823A001,Arunanchal Pradesh,SEIJOSA,SEIJ,26 56 5.179021967,92 59 14.160458632,82.098019
50824A001,Manipur,SENAPATI,SENA,25 16 11.91897901,94 1 15.322719828,1071.622842
50825A001,Tamilnadu,SENTHURAI,SNTR,11 14 49.0391951030099,79 11 2.82971967733868,0.77877
50826A001,Madhya Pradesh,SEONINAGAR,SEON,22 5 39.9764625227919,79 32 50.685802149856,563.89075
50827A001,Chhattisgarh,SEORINARAYAN,SERN,21 43 7.34961149614713,82 35 46.4431804546816,166.21848
50828A001,Arunanchal Pradesh,SEPPA,SEPA,27 21 52.996490747,93 2 25.690167809,382.36032
50829A001,Mizoram,SERCHHIP,SERC,23 19 35.421750069,92 51 17.51812956,895.374659
50830A001,Maharashtra,SHAHADA,SHDA,21 32 6.55689,74 29 9.00753,79.5094
50831A001, Haryana,SHAHBAD,SHAH,30 10 24.66263967,76 51 38.41553648,215.893
50832A001,Andaman & Nicobar Islands,SHAHEED DWEEP,SHAH,11 50 7.0154253669281,93 1 43.7655255181588,-49.82248
50833A001,Madhya Pradesh,SHAHPUR,SHPR,22 11 26.6621250201024,77 54 11.0960092760766,336.38889
50834A001,Chhattisgarh,SHANKARGARH,SHAN,23 18 7.12622569811715,83 36 21.3937279617419,628.45286
50835A001,Telangana,SHANTINAGAR,SHNT,17 14 13.0871325219922,80 8 46.8633962646985,46.54427
50836A001,Karnataka,SHIKARPURA,SPRA,14 15 58.38175,75 21 29.93373,528.1367
50837A001,Meghalaya,SHILLONG,SHIL,25 33 56.751622752,91 53 5.076400886,1499.742985
50838A001,Himachal Pradesh,SHIMLA,SHIM,31 7 5.112616416,77 13 3.908525272,2179.92121
50839A001,Maharashtra,SHIRUR,SHIR,18 49 37.71141,74 22 53.30346,493.4542
50840A001,Andaman & Nicobar Islands,SHOALBAY,SHOL,11 51 23.5711640709174,92 44 6.49096815450942,-38.63353
50841A001,Jammu & Kashmir,SHOPIAN,SOPN,33 44 34.3000793314583,74 50 19.8220707364921,1929.82862
50842A001,Rajasthan,SHRIVIJAYNAGAR,SHRI,29 14 19.0203608289289,73 31 5.63788676206984,115.9494478
50843A001,Madhya Pradesh,SIHAWAL,SIHA,24 33 39.38786043,82 14 39.65604951,182.76093
50844A001,Rajasthan,SIKAR,SIKA,27 35 47.42005329,75 11 25.21433033,398.9408317
50845A001,Madhya Pradesh,SILWANI,SILW,23 18 13.4741863039892,78 26 6.15563227354898,305.05983
50846A001,Jharkhand,SIMDEGA,SEGA,22 36 37.9643638567768,84 29 33.0523397122707,378.68225
50847A001,Karnataka,SINDANURU,SNUR,15 46 7.28613,76 43 56.0656,314.5949
50848A001,Rajasthan,SINDHARI,SIND,25 33 53.250166,71 55 46.161029,44.288
50849A001,Manipur,SINGHAT,SINT,24 8 40.466424449,93 35 32.476290543,946.578284
50850A001,Madhya Pradesh,SINGOLI,SING,24 58 2.31104531063403,75 17 32.9559086003841,326.40186
50851A001,Madhya Pradesh,SINGRAULINAGAR,SRNG,24 4 36.2477771814192,82 36 26.7381609968247,225.33392
50852A001,Madhya Pradesh,SIRALI,SIRA,22 8 47.5319948320731,77 3 49.5575347600644,246.1865
